START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/15/19,01:05 PM,04:05 PM,Brewers at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/15/19,06/15/19,04:05 PM,07:05 PM,FALSE,TRUE,06/15/19,12:05 PM,03:05 PM,FREE,BUSY
06/16/19,01:05 PM,04:05 PM,Brewers at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/16/19,06/16/19,04:05 PM,07:05 PM,FALSE,TRUE,06/16/19,12:05 PM,03:05 PM,FREE,BUSY
06/17/19,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/17/19,06/18/19,10:10 PM,01:10 AM,FALSE,TRUE,06/17/19,06:10 PM,09:10 PM,FREE,BUSY
06/18/19,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/18/19,06/19/19,10:10 PM,01:10 AM,FALSE,TRUE,06/18/19,06:10 PM,09:10 PM,FREE,BUSY
06/19/19,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/19/19,06/20/19,10:10 PM,01:10 AM,FALSE,TRUE,06/19/19,06:10 PM,09:10 PM,FREE,BUSY
06/20/19,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680",06/20/19,06/21/19,10:10 PM,01:10 AM,FALSE,TRUE,06/20/19,06:10 PM,09:10 PM,FREE,BUSY
06/21/19,06:40 PM,09:40 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/21/19,06/22/19,09:40 PM,12:40 AM,FALSE,TRUE,06/21/19,05:40 PM,08:40 PM,FREE,BUSY
06/22/19,07:10 PM,10:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/22/19,06/23/19,10:10 PM,01:10 AM,FALSE,TRUE,06/22/19,06:10 PM,09:10 PM,FREE,BUSY
06/23/19,01:10 PM,04:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/23/19,06/23/19,04:10 PM,07:10 PM,FALSE,TRUE,06/23/19,12:10 PM,03:10 PM,FREE,BUSY
06/24/19,07:05 PM,10:05 PM,Rockies at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/24/19,06/25/19,10:05 PM,01:05 AM,FALSE,TRUE,06/24/19,06:05 PM,09:05 PM,FREE,BUSY
