START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
08/09/12,03:33 AM,03:33 AM,Giants at Cardinals,Busch Stadium,,08/09/12,08/09/12,06:33 AM,06:33 AM,FALSE,TRUE,08/09/12,02:33 AM,02:33 AM,FREE,BUSY
08/10/12,03:33 AM,03:33 AM,Rockies at Giants,AT&T Park,,08/10/12,08/10/12,06:33 AM,06:33 AM,FALSE,TRUE,08/10/12,02:33 AM,02:33 AM,FREE,BUSY
08/11/12,03:33 AM,03:33 AM,Rockies at Giants,AT&T Park,,08/11/12,08/11/12,06:33 AM,06:33 AM,FALSE,TRUE,08/11/12,02:33 AM,02:33 AM,FREE,BUSY
08/12/12,03:33 AM,03:33 AM,Rockies at Giants,AT&T Park,,08/12/12,08/12/12,06:33 AM,06:33 AM,FALSE,TRUE,08/12/12,02:33 AM,02:33 AM,FREE,BUSY
08/13/12,03:33 AM,03:33 AM,Nationals at Giants,AT&T Park,,08/13/12,08/13/12,06:33 AM,06:33 AM,FALSE,TRUE,08/13/12,02:33 AM,02:33 AM,FREE,BUSY
08/14/12,03:33 AM,03:33 AM,Nationals at Giants,AT&T Park,,08/14/12,08/14/12,06:33 AM,06:33 AM,FALSE,TRUE,08/14/12,02:33 AM,02:33 AM,FREE,BUSY
08/15/12,03:33 AM,03:33 AM,Nationals at Giants,AT&T Park,,08/15/12,08/15/12,06:33 AM,06:33 AM,FALSE,TRUE,08/15/12,02:33 AM,02:33 AM,FREE,BUSY
08/17/12,03:33 AM,03:33 AM,Giants at Padres,PETCO Park,,08/17/12,08/17/12,06:33 AM,06:33 AM,FALSE,TRUE,08/17/12,02:33 AM,02:33 AM,FREE,BUSY
08/18/12,03:33 AM,03:33 AM,Giants at Padres,PETCO Park,,08/18/12,08/18/12,06:33 AM,06:33 AM,FALSE,TRUE,08/18/12,02:33 AM,02:33 AM,FREE,BUSY
08/19/12,03:33 AM,03:33 AM,Giants at Padres,PETCO Park,,08/19/12,08/19/12,06:33 AM,06:33 AM,FALSE,TRUE,08/19/12,02:33 AM,02:33 AM,FREE,BUSY
08/20/12,03:33 AM,03:33 AM,Giants at Dodgers,Dodger Stadium,,08/20/12,08/20/12,06:33 AM,06:33 AM,FALSE,TRUE,08/20/12,02:33 AM,02:33 AM,FREE,BUSY
08/21/12,03:33 AM,03:33 AM,Giants at Dodgers,Dodger Stadium,,08/21/12,08/21/12,06:33 AM,06:33 AM,FALSE,TRUE,08/21/12,02:33 AM,02:33 AM,FREE,BUSY
08/22/12,03:33 AM,03:33 AM,Giants at Dodgers,Dodger Stadium,,08/22/12,08/22/12,06:33 AM,06:33 AM,FALSE,TRUE,08/22/12,02:33 AM,02:33 AM,FREE,BUSY
08/23/12,03:33 AM,03:33 AM,Braves at Giants,AT&T Park,,08/23/12,08/23/12,06:33 AM,06:33 AM,FALSE,TRUE,08/23/12,02:33 AM,02:33 AM,FREE,BUSY
08/24/12,03:33 AM,03:33 AM,Braves at Giants,AT&T Park,,08/24/12,08/24/12,06:33 AM,06:33 AM,FALSE,TRUE,08/24/12,02:33 AM,02:33 AM,FREE,BUSY
08/25/12,03:33 AM,03:33 AM,Braves at Giants,AT&T Park,,08/25/12,08/25/12,06:33 AM,06:33 AM,FALSE,TRUE,08/25/12,02:33 AM,02:33 AM,FREE,BUSY
08/26/12,03:33 AM,03:33 AM,Braves at Giants,AT&T Park,,08/26/12,08/26/12,06:33 AM,06:33 AM,FALSE,TRUE,08/26/12,02:33 AM,02:33 AM,FREE,BUSY
08/28/12,03:33 AM,03:33 AM,Giants at Astros,Minute Maid Park,,08/28/12,08/28/12,06:33 AM,06:33 AM,FALSE,TRUE,08/28/12,02:33 AM,02:33 AM,FREE,BUSY
